      w1[rad/s]       w2[rad/s] beta1[deg] beta2[deg] DOF MOD(QTF)/rho/g PHASE(QTF)[deg] Re(QTF)/rho/g Im(QTF)/rho/g
       0.879        0.188        0.000        0.000  1  0.1909498E+02  0.3422661E+02  0.1578810E+02  0.1074030E+02
       0.879        0.251        0.000        0.000  1  0.2266138E+02 -0.1216270E+03 -0.1188335E+02 -0.1929571E+02
       0.879        0.314        0.000        0.000  1  0.9817286E+01 -0.8903585E+02  0.1651929E+00 -0.9815896E+01
       0.879        0.377        0.000        0.000  1  0.4923001E+01 -0.6057789E+02  0.2418375E+01 -0.4288054E+01
       0.879        0.440        0.000        0.000  1  0.5445572E+01 -0.4565118E+02  0.3806590E+01 -0.3894114E+01
       0.879        0.502        0.000        0.000  1  0.5085018E+01 -0.3063369E+02  0.4375366E+01 -0.2591057E+01
       0.879        0.565        0.000        0.000  1  0.3657894E+01 -0.7578107E+02  0.8984803E+00 -0.3545831E+01
       0.879        0.628        0.000        0.000  1  0.4674823E+01 -0.1242235E+03 -0.2629226E+01 -0.3865376E+01
       0.879        0.691        0.000        0.000  1  0.9868580E+01 -0.1433784E+03 -0.7920452E+01 -0.5886875E+01
       0.879        0.754        0.000        0.000  1  0.1053766E+02 -0.1594749E+03 -0.9868720E+01 -0.3694690E+01
       0.879        0.816        0.000        0.000  1  0.1825199E+02  0.1691192E+03 -0.1792386E+02  0.3445361E+01
       0.879        0.879        0.000        0.000  1  0.2116009E+02  0.1718438E+03 -0.2094606E+02  0.3002013E+01
       0.942        0.063        0.000        0.000  1  0.9453152E+01  0.1367811E+01  0.9450459E+01  0.2256518E+00
       0.942        0.126        0.000        0.000  1  0.8771931E+01  0.1048481E+02  0.8625467E+01  0.1596271E+01
       0.942        0.188        0.000        0.000  1  0.1481592E+02  0.1509889E+02  0.1430444E+02  0.3859338E+01
       0.942        0.251        0.000        0.000  1  0.3118441E+01  0.1639441E+03 -0.2996799E+01  0.8624809E+00
       0.942        0.314        0.000        0.000  1  0.6739745E+01 -0.1411617E+03 -0.5249715E+01 -0.4226659E+01
       0.942        0.377        0.000        0.000  1  0.4781330E+01 -0.1190147E+03 -0.2319110E+01 -0.4181249E+01
       0.942        0.440        0.000        0.000  1  0.3524417E+01 -0.9373585E+02 -0.2296392E+00 -0.3516928E+01
       0.942        0.502        0.000        0.000  1  0.4220430E+01 -0.1235585E+03 -0.2333006E+01 -0.3516974E+01
       0.942        0.565        0.000        0.000  1  0.5801167E+01 -0.1328577E+03 -0.3945835E+01 -0.4252519E+01
       0.942        0.628        0.000        0.000  1  0.8959333E+01 -0.1491871E+03 -0.7694672E+01 -0.4589302E+01
       0.942        0.691        0.000        0.000  1  0.9615338E+01 -0.1563978E+03 -0.8810988E+01 -0.3849833E+01
       0.942        0.754        0.000        0.000  1  0.1489084E+02 -0.1773002E+03 -0.1487431E+02 -0.7014146E+00
       0.942        0.816        0.000        0.000  1  0.1841122E+02  0.1733044E+03 -0.1828565E+02  0.2146648E+01
       0.942        0.879        0.000        0.000  1  0.1768547E+02 -0.1780758E+03 -0.1767550E+02 -0.5938320E+00
       0.942        0.942        0.000        0.000  1  0.1458740E+02 -0.1531371E+03 -0.1301328E+02 -0.6591432E+01
       1.005        0.063        0.000        0.000  1  0.1703476E+02  0.2422135E+02  0.1553514E+02  0.6988729E+01
