      w1[rad/s]       w2[rad/s] beta1[deg] beta2[deg] DOF MOD(QTF)/rho/g PHASE(QTF)[deg] Re(QTF)/rho/g Im(QTF)/rho/g
       0.816        0.377        0.000        0.000  1  0.7142662E+01  0.8106831E+02  0.1108947E+01  0.7056051E+01
       0.816        0.440        0.000        0.000  1  0.7035156E+01  0.8144858E+02  0.1046107E+01  0.6956945E+01
       0.816        0.502        0.000        0.000  1  0.7176019E+01  0.7971214E+02  0.1281591E+01  0.7060650E+01
       0.816        0.565        0.000        0.000  1  0.7247097E+01  0.7655580E+02  0.1684936E+01  0.7048503E+01
       0.816        0.628        0.000        0.000  1  0.6807332E+01  0.7147809E+02  0.2162467E+01  0.6454727E+01
       0.816        0.691        0.000        0.000  1  0.5442988E+01  0.6216855E+02  0.2541179E+01  0.4813370E+01
       0.816        0.754        0.000        0.000  1  0.3941117E+01  0.4231759E+02  0.2914158E+01  0.2653316E+01
       0.816        0.816        0.000        0.000  1  0.5021191E+01  0.0000000E+00  0.5021191E+01  0.0000000E+00
       0.879        0.063        0.000        0.000  1  0.5830008E+01 -0.1664378E+03 -0.5667443E+01 -0.1367146E+01
       0.879        0.126        0.000        0.000  1  0.8599008E+01 -0.1565721E+03 -0.7890116E+01 -0.3418917E+01
       0.879        0.188        0.000        0.000  1  0.1856260E+02 -0.1418269E+03 -0.1459294E+02 -0.1147240E+02
       0.879        0.251        0.000        0.000  1  0.3042883E+02  0.4037319E+02  0.2318194E+02  0.1971069E+02
       0.879        0.314        0.000        0.000  1  0.7267220E+01  0.8732113E+02  0.3396564E+00  0.7259279E+01
       0.879        0.377        0.000        0.000  1  0.6245969E+01  0.9981001E+02 -0.1064200E+01  0.6154642E+01
       0.879        0.440        0.000        0.000  1  0.6400540E+01  0.1039409E+03 -0.1542028E+01  0.6212010E+01
       0.879        0.502        0.000        0.000  1  0.6718108E+01  0.1017658E+03 -0.1369905E+01  0.6576955E+01
       0.879        0.565        0.000        0.000  1  0.7104896E+01  0.9471288E+02 -0.5837574E+00  0.7080874E+01
       0.879        0.628        0.000        0.000  1  0.7525177E+01  0.8474220E+02  0.6895858E+00  0.7493515E+01
       0.879        0.691        0.000        0.000  1  0.7712099E+01  0.7298383E+02  0.2256882E+01  0.7374480E+01
       0.879        0.754        0.000        0.000  1  0.7844919E+01  0.6002963E+02  0.3918946E+01  0.6795926E+01
       0.879        0.816        0.000        0.000  1  0.8305285E+01  0.3357676E+02  0.6919512E+01  0.4593269E+01
       0.879        0.879        0.000        0.000  1  0.7726429E+01  0.0000000E+00  0.7726429E+01  0.0000000E+00
       0.942        0.063        0.000        0.000  1  0.9316917E+01 -0.1729565E+03 -0.9246606E+01 -0.1142469E+01
       0.942        0.126        0.000        0.000  1  0.1005079E+02 -0.1582945E+03 -0.9338162E+01 -0.3717148E+01
       0.942        0.188        0.000        0.000  1  0.1569271E+02 -0.1438980E+03 -0.1267923E+02 -0.9246535E+01
       0.942        0.251        0.000        0.000  1  0.2443583E+02  0.3862344E+02  0.1909086E+02  0.1525283E+02
       0.942        0.314        0.000        0.000  1  0.5707260E+01  0.1391834E+03 -0.4319287E+01  0.3730492E+01
       0.942        0.377        0.000        0.000  1  0.6126201E+01  0.1499940E+03 -0.5305125E+01  0.3063656E+01
       0.942        0.440        0.000        0.000  1  0.6686002E+01  0.1507667E+03 -0.5834464E+01  0.3265220E+01
       0.942        0.502        0.000        0.000  1  0.6694425E+01  0.1452764E+03 -0.5502214E+01  0.3813261E+01
       0.942        0.565        0.000        0.000  1  0.6333904E+01  0.1301615E+03 -0.4085013E+01  0.4840558E+01
       0.942        0.628        0.000        0.000  1  0.6692797E+01  0.1046775E+03 -0.1695805E+01  0.6474394E+01
       0.942        0.691        0.000        0.000  1  0.8553810E+01  0.8117318E+02  0.1312568E+01  0.8452505E+01
       0.942        0.754        0.000        0.000  1  0.1122697E+02  0.6746970E+02  0.4301861E+01  0.1037010E+02
       0.942        0.816        0.000        0.000  1  0.1209037E+02  0.5145133E+02  0.7534467E+01  0.9455626E+01
       0.942        0.879        0.000        0.000  1  0.7597747E+01  0.3315894E+02  0.6360504E+01  0.4155690E+01
       0.942        0.942        0.000        0.000  1  0.2782107E+01  0.0000000E+00  0.2782107E+01  0.0000000E+00
       1.005        0.063        0.000        0.000  1  0.1975162E+02 -0.1661303E+03 -0.1917573E+02 -0.4734758E+01
       1.005        0.126        0.000        0.000  1  0.1086295E+02 -0.1680564E+03 -0.1062778E+02 -0.2248082E+01
       1.005        0.188        0.000        0.000  1  0.7767014E+01 -0.1666190E+03 -0.7556160E+01 -0.1797483E+01
       1.005        0.251        0.000        0.000  1  0.9764543E+01  0.1274489E+02  0.9523964E+01  0.2154161E+01
       1.005        0.314        0.000        0.000  1  0.1104719E+02 -0.1701427E+03 -0.1088411E+02 -0.1891212E+01
       1.005        0.377        0.000        0.000  1  0.1073344E+02 -0.1741835E+03 -0.1067818E+02 -0.1087763E+01
